862 827
578 361 998
43 277 503
747 839 -457
380 783 -179
257 442 -682
185 492 -45
290 190 -837
379 500 706
306 383 -396
438 101 -506
800 285 -469
123 525 721
461 398 -372
570 190 -18
758 807 198
66 582 902
507 226 389
29 726 286
40 368 -337
67 58 648
859 251 8
393 584 -214
147 796 450
68 742 -412
333 720 -179
69 307 -807
198 440 -410
830 155 5
329 342 896
410 21 -567
37 385 -839
263 59 -295
514 621 -181
713 252 -408
45 431 247
622 139 465
403 167 -720
483 850 238
315 378 -815
443 172 137
360 43 -760
278 425 34
30 795 351
462 711 -649
841 345 -495
16 240 257
459 674 430
94 453 61
786 499 629
230 308 874
208 504 -420
647 707 -62
699 642 412
628 538 -112
443 822 645
611 823 197
551 218 181
645 426 147
103 312 -350
655 200 -889
401 795 -163
22 571 -22
63 404 656
668 669 164
533 144 122
512 212 696
152 194 458
280 661 898
343 304 -879
9 267 -440
549 722 -49
167 485 907
819 829 -335
327 784 184
616 600 -820
832 224 549
407 249 -22
658 653 177
234 472 -384
457 171 -365
54 422 -688
680 786 -451
191 403 -234
234 477 -896
571 664 -658
549 262 802
747 336 -253
266 698 603
55 803 -488
147 852 -9
549 29 -269
384 420 468
334 524 809
549 227 456
412 575 987
702 592 662
763 327 -847
153 242 838
487 95 636
294 655 383
475 433 462
582 120 -367
452 327 364
439 187 117
240 414 983
68 828 -363
364 609 -196
196 165 959
106 422 554
697 114 707
438 467 247
452 737 -110
648 229 -609
413 143 -538
739 26 653
81 82 150
366 459 -999
656 382 403
119 12 -243
662 326 -835
733 133 -660
854 736 48
685 560 -305
11 271 595
608 471 -914
389 388 166
724 1 -541
566 666 -412
253 546 -632
829 513 -338
160 726 -505
299 847 -957
39 693 53
201 611 -680
705 154 126
36 374 -910
393 560 570
694 312 -244
720 817 803
765 538 -650
764 83 334
142 737 629
640 583 720
662 458 -763
330 527 435
93 170 178
653 17 -192
302 247 -527
137 294 -24
13 668 131
666 596 449
90 400 -127
73 582 -97
199 466 -361
405 219 -228
603 489 -685
84 692 -194
255 816 370
684 449 -712
362 566 -732
794 73 -868
730 167 -352
686 53 857
65 490 -31
86 165 -138
720 499 902
512 435 -136
554 855 -400
752 146 -617
517 188 319
771 190 -286
212 37 -69
475 553 483
384 125 -581
675 178 -892
585 254 305
100 719 334
309 491 553
477 112 523
816 380 738
369 102 -819
323 549 744
525 77 468
475 542 988
760 316 -829
279 171 74
580 674 791
634 579 -911
725 17 420
347 335 -716
610 598 109
381 656 463
642 3 -476
430 258 626
580 553 206
385 214 -221
136 237 -679
750 743 -457
668 91 -254
561 169 -457
532 94 -220
796 659 565
433 288 515
164 508 153
226 62 -678
343 680 -482
515 584 -368
837 501 119
335 727 28
684 341 -596
260 527 833
455 395 295
96 49 -808
837 512 -991
445 22 36
727 508 -838
85 515 -446
786 246 255
37 185 -427
851 94 -982
812 367 944
26 861 874
553 114 647
121 105 -900
161 831 -705
580 218 430
715 368 670
98 240 454
620 424 257
11 627 -578
127 370 -701
740 653 -622
19 4 -334
732 314 574
433 857 203
1 472 194
228 288 -819
711 710 -583
652 157 497
200 402 620
723 120 -893
460 843 -860
517 195 -831
432 173 675
119 359 940
227 124 525
189 543 -96
269 643 827
841 303 -721
318 300 -842
253 167 -738
127 416 590
181 672 -968
653 472 242
708 315 -350
220 83 -145
176 28 -932
32 92 133
806 696 558
425 82 -343
582 321 -603
250 632 -648
121 165 -892
198 253 167
165 749 502
96 610 663
290 765 -312
642 760 523
665 512 202
559 703 546
729 65 -579
420 648 -887
719 266 -244
576 139 542
226 710 703
768 342 80
353 341 521
703 282 44
516 124 160
512 83 -508
171 166 778
421 179 530
708 148 311
170 431 572
638 331 -532
862 574 821
742 682 -444
202 36 -863
338 313 161
861 819 805
630 504 957
563 228 539
337 424 569
381 608 313
775 30 108
341 410 243
540 707 659
729 162 363
403 488 -886
73 507 990
804 662 660
579 434 366
417 55 568
204 398 -800
641 845 814
721 508 546
305 460 -883
408 839 249
279 847 68
355 293 -945
574 723 83
128 642 -445
734 834 -864
847 301 499
612 662 859
332 683 327
483 725 -196
478 273 679
120 42 565
545 217 194
834 171 -978
330 219 -699
110 686 -685
406 526 343
459 3 466
563 777 -384
661 605 455
745 439 -369
603 331 802
832 463 -978
331 224 -882
304 462 536
256 789 -263
777 767 153
61 796 27
152 590 355
784 568 -6
376 859 923
240 38 832
386 679 3
756 42 -566
533 706 -102
558 155 -826
40 585 -971
136 593 4
7 458 13
228 796 -279
656 140 342
189 743 365
501 801 419
789 776 -170
770 188 -962
795 841 -391
487 427 -642
820 835 -607
141 568 -389
662 385 -523
811 410 -237
519 439 -607
704 792 -28
143 328 805
523 718 -42
174 449 926
97 807 883
465 396 -926
235 119 788
254 544 -970
340 496 -883
630 593 -778
169 119 -231
731 773 -269
216 190 -120
216 774 -969
671 85 -326
49 178 -997
189 422 -818
171 257 984
802 224 -16
8 193 -28
283 679 -753
855 818 441
716 146 403
730 498 802
373 145 182
452 584 -811
765 254 -890
113 427 875
198 407 233
675 38 -726
194 663 761
277 252 -502
249 450 -565
348 818 -513
823 218 966
378 356 -474
780 563 251
765 373 -299
316 488 192
492 4 -695
23 772 528
