16
860 1867
218 45 335
678 141 593
421 544 919
592 512 719
585 830 647
122 65 735
632 514 742
497 777 811
332 502 127
44 706 159
188 415 762
853 798 835
756 3 816
800 170 278
348 719 293
39 314 683
752 695 450
784 104 821
94 121 878
280 204 873
471 822 442
285 534 287
438 17 7
104 2 568
309 117 258
165 823 304
265 432 192
124 88 592
757 624 544
128 696 856
619 809 513
850 535 372
762 834 530
306 669 362
283 507 807
3 820 767
145 439 572
633 669 691
857 254 659
120 485 985
56 857 371
117 587 1000
589 598 274
606 622 627
576 753 10
406 151 213
318 630 607
422 45 357
19 105 1000
92 308 682
136 379 744
29 415 127
158 64 463
537 481 756
584 823 555
39 517 69
201 617 590
413 287 123
489 690 285
844 196 597
402 578 110
753 649 861
778 205 825
237 587 748
784 225 885
31 611 309
476 251 223
402 679 210
317 385 953
185 700 501
557 293 222
320 101 599
42 478 650
352 105 978
25 641 97
86 745 117
661 814 110
68 750 533
222 636 639
577 416 970
188 116 605
37 427 289
710 857 970
53 296 501
305 241 864
642 652 918
474 51 360
620 725 642
440 18 553
425 686 638
665 587 946
65 700 508
855 342 658
423 292 464
457 397 636
433 676 729
183 405 759
371 745 26
147 128 119
305 537 276
425 706 30
581 341 9
454 801 564
622 535 519
457 302 673
846 151 288
847 116 568
75 493 901
249 375 508
609 657 183
659 596 437
729 593 649
516 849 144
504 278 158
717 493 513
570 75 859
446 412 54
391 47 803
624 191 166
348 434 339
569 246 167
378 191 88
378 127 374
442 834 157
314 147 440
826 94 468
608 813 530
534 598 223
813 760 931
319 522 834
610 792 428
253 57 877
242 672 314
173 41 171
719 454 174
792 378 696
730 283 917
412 440 787
92 859 154
153 318 992
848 574 390
117 9 496
52 269 369
268 150 471
451 555 418
327 671 83
243 423 730
653 240 267
603 544 667
490 291 354
446 772 210
2 16 200
179 714 775
93 669 234
51 743 811
215 417 7
38 666 738
718 468 353
390 387 161
612 134 655
589 197 13
230 732 525
281 555 359
429 164 649
608 858 862
298 283 177
455 252 980
520 170 923
832 575 796
355 796 171
578 340 711
71 658 725
415 507 17
126 389 293
793 245 927
369 500 847
766 237 286
454 667 241
246 42 544
383 675 264
254 859 842
852 639 879
322 398 380
840 227 923
797 344 249
285 590 213
725 160 138
588 302 690
296 711 275
567 110 776
280 550 824
578 506 615
589 445 458
217 386 894
23 321 218
458 26 943
476 550 69
238 276 276
265 459 623
328 676 376
8 167 276
508 137 323
562 106 66
683 824 712
711 222 966
165 439 12
353 357 272
217 781 710
331 768 218
457 530 624
547 471 717
388 662 625
570 273 347
351 536 133
253 363 468
181 207 237
119 56 681
425 581 737
134 166 966
231 786 876
745 361 160
794 451 858
580 349 157
202 700 357
86 415 398
57 586 192
123 623 250
308 739 555
478 653 556
844 448 251
837 576 426
828 266 367
95 814 656
696 133 345
665 586 42
495 416 477
845 525 253
333 512 955
777 526 203
272 744 234
353 414 871
161 358 483
760 552 890
350 846 3
827 731 644
298 207 539
707 612 261
809 280 866
107 215 178
186 817 659
236 15 504
456 82 334
55 505 423
145 728 79
624 427 164
694 771 357
132 605 2
421 518 842
593 557 330
749 833 276
234 94 283
814 139 431
542 615 856
661 516 385
124 126 78
597 600 467
799 596 128
214 134 388
729 775 589
170 317 694
345 642 403
636 406 987
382 529 252
364 330 385
690 537 206
746 833 987
633 544 552
593 454 573
701 54 414
515 635 387
249 396 397
122 192 596
802 168 513
794 603 157
28 519 87
599 183 365
115 346 445
572 627 79
532 757 271
482 510 340
128 615 924
427 581 219
397 631 280
574 117 542
121 194 624
159 433 815
740 803 76
262 184 841
397 92 98
262 192 435
250 658 171
5 367 156
233 331 845
172 104 227
6 391 88
350 359 349
82 798 840
633 814 575
782 616 98
33 390 53
15 759 662
159 134 867
770 323 367
738 157 644
629 621 996
167 813 833
289 712 730
254 640 382
319 236 53
818 616 950
120 240 661
475 526 119
605 228 898
843 631 166
209 483 574
703 619 132
311 61 814
791 504 530
757 672 545
274 71 621
600 136 152
593 207 798
135 562 883
79 572 73
69 422 125
101 270 963
718 331 186
387 248 456
206 160 982
213 23 897
762 269 306
502 243 446
540 67 563
373 211 455
405 438 699
233 283 311
783 382 470
96 558 922
384 676 976
818 251 42
634 567 117
194 717 86
524 242 614
752 242 363
496 690 896
83 504 228
454 442 588
50 476 703
273 323 642
769 164 230
674 728 234
197 96 877
425 854 682
90 119 954
709 18 508
643 8 830
803 371 329
845 128 908
64 609 769
738 213 45
390 610 601
259 267 353
669 393 326
230 321 772
216 673 352
290 19 118
43 411 32
644 663 356
477 763 42
785 697 873
307 283 230
32 98 548
263 1 648
227 142 84
212 335 791
89 461 326
302 154 846
295 828 318
729 857 154
265 527 501
302 326 543
146 89 143
114 100 342
665 107 985
835 841 290
27 854 477
211 407 571
219 38 390
618 803 591
287 558 520
383 566 171
144 258 422
680 454 571
13 828 766
835 305 917
246 331 673
460 702 231
136 753 153
517 193 114
569 158 649
759 581 834
550 389 529
474 226 215
349 358 874
508 775 205
757 266 725
573 545 991
484 548 887
261 268 331
366 371 239
360 687 851
584 513 71
201 310 782
672 131 69
89 388 539
496 71 644
843 835 775
451 553 578
28 802 90
246 498 766
463 475 819
391 786 786
73 498 682
748 256 237
682 816 413
448 742 523
436 280 654
645 620 442
227 109 625
168 85 80
302 446 688
418 169 19
298 188 332
404 563 421
513 30 127
423 317 735
594 164 10
197 302 286
691 544 858
790 20 579
499 461 485
707 458 681
355 544 648
156 482 239
745 634 824
342 344 743
596 27 549
740 531 180
729 61 824
837 66 136
175 172 521
111 240 256
370 31 503
564 606 943
113 112 199
249 17 618
268 645 906
252 752 372
788 204 307
372 316 122
14 840 963
783 73 789
546 529 336
344 292 287
565 210 725
356 76 899
206 387 898
816 809 545
559 471 761
528 670 862
615 651 423
819 384 169
325 808 450
277 265 212
430 10 1
27 482 94
414 202 475
340 516 394
397 529 57
192 298 807
186 65 554
756 411 162
226 656 46
845 815 4
824 704 545
90 50 979
35 434 11
375 807 177
64 569 31
713 858 153
578 482 993
775 411 99
690 774 80
109 517 1000
551 649 293
224 518 656
542 274 950
532 52 558
685 704 632
32 373 727
560 733 371
750 630 173
477 18 201
132 397 155
754 442 572
79 601 54
489 603 553
580 598 228
597 827 975
712 851 412
681 172 356
409 785 405
316 336 648
534 224 163
437 684 858
17 168 709
664 409 269
595 422 970
468 782 714
83 6 994
59 590 276
202 149 267
13 353 115
327 685 300
178 268 302
844 369 552
418 849 172
32 265 416
364 82 49
290 428 519
752 542 201
784 417 571
262 650 57
596 717 211
220 550 187
818 801 191
682 557 162
95 148 52
254 411 734
206 159 64
440 820 284
742 602 600
175 291 550
205 130 333
665 636 517
455 687 397
180 768 535
647 579 351
523 451 841
716 632 789
458 78 760
378 687 493
300 151 407
107 2 480
60 332 206
426 579 66
279 72 864
749 455 389
506 856 189
682 168 216
824 377 491
850 334 795
323 312 395
39 522 338
369 708 485
453 317 300
126 735 358
391 105 622
858 575 543
811 486 800
551 226 477
561 24 152
462 773 622
384 530 700
383 654 892
270 430 155
402 301 839
259 39 863
765 249 213
276 811 716
5 689 572
834 129 322
836 420 460
2 195 829
733 279 680
122 642 291
845 598 230
568 656 650
195 405 492
166 661 521
585 26 797
193 826 787
773 58 641
35 796 503
252 659 172
784 466 70
160 435 263
122 660 545
194 244 212
473 275 532
800 541 483
670 212 580
391 476 930
147 6 63
37 539 318
422 264 203
183 701 633
656 729 530
153 95 963
823 418 433
554 822 29
727 274 415
808 145 282
640 537 139
728 474 549
395 665 765
6 233 49
416 547 21
365 747 424
643 672 318
832 376 46
202 770 533
37 500 859
64 23 992
522 669 571
456 75 453
310 563 661
829 349 757
413 147 242
39 41 179
834 202 254
164 757 205
619 68 686
844 713 355
735 722 378
153 609 171
486 512 111
95 543 346
33 338 190
804 52 98
723 15 742
568 330 272
744 282 307
113 609 276
306 755 810
518 568 586
552 612 810
424 675 2
182 769 340
328 641 586
44 569 940
81 695 944
81 490 140
844 294 609
736 622 846
740 253 657
674 57 232
143 207 1000
797 436 524
204 423 628
104 475 614
36 5 163
297 154 330
661 520 852
707 712 41
173 649 419
149 844 34
331 429 311
429 496 92
641 266 124
306 492 455
324 278 10
369 857 902
852 348 353
369 571 488
767 405 757
848 612 666
607 621 239
765 768 947
316 301 414
844 376 919
796 437 507
633 726 92
436 321 423
700 63 297
533 579 305
215 732 972
403 485 656
622 1 863
495 691 549
538 717 934
396 500 294
129 63 9
227 846 303
547 829 468
310 773 490
618 231 455
256 592 537
119 468 4
195 126 257
38 822 438
110 564 97
548 565 605
331 662 496
288 106 301
806 456 547
788 473 732
553 480 421
117 439 878
24 645 500
372 278 199
670 542 156
811 376 462
800 333 120
179 144 40
696 210 524
415 440 559
818 660 178
40 818 335
246 577 146
412 246 434
59 234 8
552 404 989
682 50 800
369 550 142
555 476 4
748 389 510
832 215 120
444 119 490
722 283 190
111 17 140
676 240 821
123 265 269
83 573 117
24 702 261
374 144 146
90 454 883
205 679 980
468 372 765
603 181 188
91 346 951
568 696 592
697 25 975
204 2 714
123 821 264
331 68 947
480 784 874
547 812 219
781 430 741
291 460 870
628 579 14
116 351 492
646 476 989
2 566 76
477 351 61
476 651 524
333 232 535
21 568 806
547 263 570
338 164 387
787 695 965
46 497 524
665 399 913
441 49 181
802 299 109
392 18 324
841 167 594
264 314 625
444 748 965
61 389 856
182 418 340
772 422 349
590 312 40
