19
996 1747
320 634 692
253 119 875
122 206 154
679 469 972
972 884 576
255 441 721
260 597 360
189 192 668
670 968 558
527 442 571
705 527 485
307 213 135
88 764 366
258 865 178
266 797 914
26 903 358
41 868 107
86 435 474
551 798 589
129 724 229
830 449 368
232 381 756
909 423 132
261 925 47
577 326 754
411 231 732
310 975 76
177 239 343
622 122 932
741 669 643
125 992 630
352 611 226
118 955 15
618 300 335
943 529 542
468 384 824
982 487 741
856 702 723
613 362 480
116 753 749
73 835 238
277 985 539
613 3 487
313 205 989
118 280 249
701 584 378
277 609 612
589 170 684
680 315 370
12 955 225
66 409 172
374 475 353
63 75 117
672 754 381
808 844 492
307 112 1000
252 80 980
328 967 67
886 414 873
287 444 343
278 660 833
670 690 748
884 50 449
570 845 40
372 427 578
825 364 959
772 136 778
944 812 584
659 937 781
15 566 467
494 451 861
838 698 998
893 970 565
832 883 69
953 402 546
540 669 208
938 812 344
920 646 878
302 414 206
858 303 805
157 360 602
103 827 598
573 633 641
677 137 881
289 337 422
226 963 677
618 727 869
277 240 476
636 181 581
641 448 286
669 974 295
221 320 520
936 791 920
935 430 4
951 581 386
277 777 575
193 737 995
381 150 716
755 153 38
236 944 912
675 965 448
540 970 66
431 170 400
430 368 416
626 663 997
676 791 784
513 548 583
979 101 102
243 640 444
221 61 265
154 276 924
226 281 433
797 222 346
32 732 594
662 901 470
809 111 79
155 299 74
315 834 744
708 549 713
842 946 595
646 141 177
975 894 334
439 240 952
464 245 430
141 949 831
835 258 266
773 323 490
466 915 370
890 65 586
755 8 594
123 651 339
51 435 589
961 765 506
943 880 498
139 129 579
128 623 996
434 923 532
695 342 975
694 939 428
98 66 730
275 737 165
207 256 868
104 303 584
389 839 567
895 186 112
429 278 427
807 509 69
70 8 227
129 779 851
869 316 256
940 993 802
666 967 341
680 299 183
939 305 60
647 506 99
503 627 686
68 24 818
946 531 124
372 922 634
905 959 591
344 257 165
377 178 310
568 467 230
113 14 860
853 671 62
828 360 358
500 29 427
398 917 537
965 798 142
153 372 715
788 651 845
202 667 456
794 424 150
991 653 600
62 677 404
763 382 579
428 188 700
368 51 752
198 456 793
442 222 787
902 863 191
396 391 820
713 206 704
956 992 256
135 517 231
304 335 615
211 966 414
490 421 854
987 310 140
712 928 899
485 376 914
601 284 340
545 606 530
898 865 250
195 709 881
909 129 671
722 250 448
877 734 305
692 310 689
762 547 92
845 111 155
226 442 298
552 600 146
833 159 370
294 267 941
74 300 449
378 22 437
4 220 854
835 659 595
242 400 328
345 460 4
927 353 424
378 161 816
38 180 776
750 401 93
298 801 747
267 188 592
853 400 893
951 227 500
333 634 566
590 304 354
375 244 929
337 185 337
187 39 728
782 539 635
696 876 340
500 279 613
856 582 441
541 620 511
20 876 876
250 380 999
979 234 479
427 634 217
702 579 528
612 189 333
67 538 928
164 732 23
291 145 824
926 71 92
397 23 270
17 424 277
270 880 775
854 573 118
751 400 941
704 940 380
500 147 992
273 329 341
654 156 609
945 262 730
332 695 788
142 17 644
1 99 679
565 643 649
733 25 279
787 710 127
203 977 683
102 530 248
321 345 646
871 436 934
388 899 422
534 370 681
403 552 843
992 378 366
129 899 739
783 799 217
100 842 929
339 453 731
255 696 22
782 877 304
119 266 377
479 946 16
502 395 695
304 290 215
541 189 986
926 226 447
469 728 736
379 186 222
275 544 131
536 989 247
669 874 809
258 342 197
669 797 269
675 121 710
717 950 757
123 257 492
349 518 804
48 623 1000
568 190 582
467 644 540
167 683 244
427 302 555
209 957 45
210 832 811
35 985 266
326 763 531
835 27 963
771 898 57
852 837 377
544 889 741
679 197 694
972 108 784
602 189 734
982 436 544
412 692 46
61 666 20
170 493 166
152 74 90
339 677 457
626 87 48
14 769 467
972 217 594
620 364 82
653 686 119
213 519 947
804 353 572
1 902 905
546 166 405
200 936 824
664 209 663
676 331 239
909 561 312
954 879 577
184 995 593
287 81 667
330 902 480
855 219 471
463 455 62
483 613 207
802 855 332
96 278 694
551 465 53
397 844 744
213 452 400
368 457 172
608 884 433
683 328 310
275 721 337
253 590 181
90 965 371
793 709 179
338 737 891
284 885 906
744 398 699
676 871 879
116 601 262
805 657 276
811 597 389
854 167 70
848 892 919
183 715 167
434 44 50
868 152 207
423 285 4
690 853 957
644 874 558
425 446 326
814 729 465
71 502 890
505 181 982
226 41 939
399 422 582
39 916 691
791 851 504
37 965 475
633 349 977
496 794 699
458 462 531
712 270 422
222 954 898
654 429 528
623 348 865
229 253 540
106 894 683
423 924 105
821 778 159
890 105 254
768 94 850
903 365 16
609 359 116
838 820 3
806 910 815
248 897 330
571 552 335
320 254 993
875 18 602
121 813 252
215 462 783
555 87 671
933 60 202
907 105 955
720 216 846
918 378 747
494 685 49
914 706 657
436 315 312
