842 2825
659 402 830
468 192 521
353 126 187
26 574 3
143 212 412
662 794 126
647 252 538
577 214 650
473 109 649
270 469 365
80 567 924
206 783 620
414 191 251
414 596 982
270 365 4
507 182 547
580 304 922
715 369 247
389 573 700
199 179 476
321 37 630
727 390 312
756 736 749
769 213 750
608 490 354
83 152 320
332 22 614
498 599 508
415 341 102
654 593 354
141 8 593
600 347 665
288 162 275
319 655 143
351 565 375
812 490 145
777 105 380
12 785 709
396 394 197
352 487 278
119 53 682
442 839 212
292 66 126
569 674 309
365 270 92
129 746 818
637 772 900
201 142 224
294 223 823
807 424 703
398 547 408
628 749 360
384 61 639
710 253 868
543 464 239
688 436 637
240 809 404
330 553 887
434 619 424
461 716 24
464 687 971
192 57 900
5 311 65
389 811 129
51 765 352
280 173 154
586 702 885
529 426 44
824 404 601
711 339 569
33 77 974
461 802 492
432 443 726
493 511 444
725 566 42
453 312 714
704 410 878
221 542 468
593 681 241
336 262 763
271 202 741
182 10 947
358 347 699
739 69 830
631 108 708
729 466 395
64 233 50
311 665 733
671 585 359
755 66 209
820 646 409
630 430 236
168 734 121
471 179 461
413 443 988
29 447 373
721 700 343
326 542 651
17 546 871
523 418 478
387 808 879
723 183 867
35 162 522
636 204 459
453 516 450
558 484 930
157 558 414
578 756 236
710 821 973
697 788 684
572 760 955
432 523 717
259 708 947
315 551 11
195 468 153
589 673 694
646 579 391
215 447 179
24 230 576
321 105 900
723 479 33
270 439 578
250 173 268
287 670 808
380 679 948
133 86 556
353 307 237
422 332 644
581 818 575
265 818 567
224 389 487
453 185 655
533 549 145
146 593 539
123 376 476
427 496 729
58 199 730
711 349 622
49 135 470
695 224 40
7 134 481
583 217 52
52 2 214
228 794 679
725 308 388
768 144 661
807 768 620
163 65 817
260 247 387
333 529 818
403 608 950
496 205 409
197 283 240
749 135 254
593 207 476
798 816 751
320 653 173
506 212 539
733 556 611
406 545 425
584 89 932
368 642 163
818 129 865
502 95 784
784 130 389
724 615 232
303 108 553
315 314 565
699 55 200
62 131 686
731 250 570
99 138 69
477 578 360
356 521 139
797 509 575
679 595 356
539 133 311
46 148 28
546 25 418
295 190 201
233 334 492
147 316 578
203 684 956
616 631 227
385 748 21
49 5 736
250 224 593
479 477 301
556 164 744
393 249 589
498 629 785
678 315 722
595 170 515
282 530 499
492 832 399
526 484 107
225 538 149
725 366 353
364 662 99
461 778 425
223 595 962
634 576 308
419 270 424
714 138 937
556 372 825
447 747 433
522 614 924
166 244 80
215 163 409
818 150 874
26 234 146
542 712 327
206 779 829
325 291 240
11 472 744
71 792 287
570 47 257
580 535 66
355 195 934
531 790 234
665 544 474
395 214 584
62 606 671
265 14 695
325 437 422
541 62 931
415 114 874
644 91 831
533 526 466
93 248 606
510 203 814
137 724 625
69 452 929
482 514 353
322 559 513
556 345 880
744 501 655
799 617 668
40 234 556
292 695 366
437 409 501
720 410 94
444 183 147
382 724 42
55 837 73
573 462 865
537 351 579
369 772 263
29 72 984
555 734 978
804 715 644
797 66 19
329 354 32
539 589 615
215 616 198
411 392 200
514 760 168
385 417 400
342 91 70
2 572 292
688 669 456
533 427 739
222 426 698
410 709 942
739 599 844
807 330 787
460 464 586
751 839 313
472 542 894
758 512 564
252 750 362
543 289 234
306 833 96
115 708 384
650 291 395
802 417 629
836 307 890
308 606 709
385 670 522
704 490 87
168 436 780
44 502 644
232 387 38
588 672 113
437 776 798
621 795 662
56 367 980
572 726 687
624 264 235
353 118 327
244 829 468
841 446 273
91 344 480
286 733 233
226 509 936
510 484 260
818 518 968
332 307 280
766 842 725
835 729 98
27 200 874
300 37 353
767 799 793
393 548 424
272 521 636
377 210 437
96 271 834
771 344 255
786 11 675
662 142 941
104 795 89
471 548 604
231 361 102
311 802 938
319 62 240
76 685 97
509 375 488
705 228 938
175 832 22
715 180 229
651 714 357
402 38 473
336 431 943
408 221 330
497 218 148
212 703 195
582 385 10
191 747 515
51 660 737
120 35 33
634 45 27
378 243 732
638 25 177
396 199 179
429 747 637
436 577 536
242 570 522
668 237 554
250 99 5
841 682 375
738 472 179
730 766 394
151 298 188
598 619 168
685 782 710
613 137 464
594 603 383
174 756 503
34 176 426
609 736 224
518 582 180
667 842 114
715 29 989
195 364 679
628 319 424
69 60 746
135 515 472
52 479 713
271 214 893
420 590 155
300 65 498
302 456 801
596 694 558
518 421 179
302 234 99
205 336 135
734 597 337
602 453 71
231 543 821
201 369 970
476 525 272
699 35 156
819 480 414
584 38 119
162 121 109
549 449 504
143 757 468
333 681 336
157 128 349
212 554 172
500 151 42
308 6 398
168 600 698
469 243 312
307 472 63
596 440 47
239 640 469
377 356 514
576 602 458
616 155 669
628 639 116
504 672 272
204 676 22
408 655 760
437 288 203
273 548 55
668 747 501
4 681 886
474 231 97
518 28 120
178 55 860
173 542 971
367 101 733
793 769 820
517 395 312
475 617 882
178 394 232
807 635 901
488 122 949
293 813 959
486 64 114
199 175 115
374 776 376
797 590 703
778 588 573
763 754 851
262 210 871
250 147 986
488 19 423
658 469 587
395 294 568
580 433 623
618 220 334
678 171 14
356 64 71
242 747 600
66 110 343
440 266 278
78 315 758
376 488 930
15 832 247
293 29 552
558 517 169
233 224 116
788 782 189
225 55 665
313 388 511
706 689 249
54 270 448
134 743 749
498 368 795
302 189 691
793 192 537
669 345 700
129 111 963
348 559 981
586 23 956
750 168 227
190 70 765
176 700 17
668 78 392
329 176 502
680 185 202
316 122 620
491 418 354
515 576 111
562 639 758
797 541 469
512 341 757
401 647 981
90 330 206
563 478 63
505 588 200
428 581 460
29 831 383
384 472 200
58 169 131
733 319 586
754 773 723
662 609 501
323 526 959
786 237 692
808 461 759
60 389 440
519 333 846
839 427 477
776 590 34
196 240 460
602 277 334
355 3 706
288 601 561
267 149 429
143 282 926
325 501 358
534 413 519
435 525 771
298 67 843
723 677 757
825 306 861
291 144 522
87 531 283
725 132 735
500 712 550
193 835 837
548 775 482
717 133 364
213 248 399
380 311 722
559 806 175
414 41 760
805 253 736
549 101 6
816 312 451
579 673 654
191 317 959
146 813 742
641 832 513
402 561 798
841 498 487
566 53 992
811 572 524
64 445 802
542 454 8
785 382 397
642 662 471
152 199 648
350 779 612
344 62 188
384 27 772
140 390 95
269 836 202
786 93 873
305 149 751
42 508 912
793 787 474
394 6 291
815 264 83
374 463 498
218 442 309
125 203 842
19 225 75
556 775 281
433 723 54
97 723 127
783 230 829
407 422 497
625 591 199
780 783 403
281 52 366
472 785 543
497 310 796
375 409 105
168 410 617
802 794 762
758 579 427
150 706 183
108 355 606
676 112 848
722 780 219
193 258 199
497 499 481
509 497 407
793 308 392
300 221 512
480 561 770
663 641 922
335 669 648
520 550 273
677 686 131
813 778 477
452 96 595
152 321 591
107 148 162
174 735 374
688 810 705
686 101 275
370 633 773
501 8 436
302 590 442
529 213 763
510 590 755
132 624 979
796 66 527
153 105 316
310 454 626
264 627 232
350 452 532
244 8 928
130 734 973
14 565 422
713 327 532
199 752 466
618 191 413
632 786 459
556 198 552
229 747 580
341 22 596
756 262 947
564 726 6
306 52 135
294 151 965
481 47 738
70 227 151
62 54 510
55 242 164
302 776 761
5 554 283
381 653 599
763 772 727
191 621 761
569 434 597
407 819 732
282 499 187
743 632 386
646 135 104
27 475 865
442 410 495
233 309 289
9 312 838
824 142 68
590 406 277
588 82 976
451 486 34
803 113 968
643 809 416
189 596 761
566 592 111
232 545 189
397 494 34
33 734 349
170 589 58
586 173 223
637 483 434
441 842 770
611 26 252
71 416 513
646 122 724
348 124 520
222 620 739
302 44 526
6 52 231
202 232 693
633 282 640
68 375 774
355 549 710
11 313 790
541 717 417
183 83 822
47 557 749
726 266 446
823 388 131
461 61 600
420 556 391
301 580 207
711 469 555
749 336 213
842 673 703
103 317 17
243 562 14
507 338 923
773 185 651
405 320 447
48 312 536
371 647 656
452 154 1
334 646 770
188 199 442
185 353 33
647 209 773
255 600 432
273 331 978
144 121 282
822 33 820
80 370 56
706 61 237
321 19 460
757 583 54
24 708 515
72 433 810
515 103 643
614 574 123
183 772 291
376 96 216
702 515 453
316 288 8
835 384 421
308 122 486
37 285 621
568 405 742
800 19 691
481 457 40
637 359 172
717 760 260
818 627 757
727 238 92
