941 2726
649 488 63
138 258 576
408 102 387
134 442 519
657 744 93
790 38 333
527 545 350
263 50 315
854 415 604
345 738 54
626 695 506
803 216 240
231 235 250
649 335 614
623 99 654
878 719 921
930 755 83
302 735 74
55 334 47
75 7 633
814 733 428
651 40 25
874 723 555
513 571 334
121 510 740
540 155 309
150 746 834
448 831 204
15 446 136
284 180 567
885 445 718
752 138 788
184 878 94
560 571 264
892 654 281
429 142 736
877 923 961
441 348 39
811 854 98
669 809 678
325 854 54
376 530 138
702 851 608
395 689 130
788 481 984
12 471 402
687 296 163
723 459 111
694 478 423
764 714 232
806 178 583
185 703 940
11 39 504
203 306 107
13 865 969
905 55 704
387 565 696
434 110 971
438 559 657
737 366 406
352 428 262
283 112 740
105 665 232
798 282 157
634 135 719
14 625 358
164 137 119
391 522 243
816 394 75
884 16 358
917 184 321
79 605 562
587 236 67
443 423 914
476 907 507
548 461 339
599 814 380
486 347 524
818 214 790
866 192 4
941 52 170
448 2 862
674 894 513
597 631 316
394 123 326
625 269 301
209 634 52
170 394 769
26 735 255
312 892 229
211 689 108
66 741 260
412 733 925
46 541 645
249 369 915
739 470 262
544 285 753
857 728 688
626 674 803
316 212 867
918 391 171
785 589 662
4 551 1000
255 103 590
416 477 752
28 83 806
273 913 476
517 587 370
805 632 299
237 608 326
874 559 684
246 700 990
634 54 982
446 583 836
869 575 832
870 617 135
704 486 91
724 766 44
271 63 491
340 565 291
895 141 554
480 103 649
906 709 903
110 67 268
14 539 329
589 767 297
129 504 342
936 377 51
709 231 669
849 194 394
568 251 986
660 585 457
936 518 334
638 883 961
842 720 317
678 528 806
261 474 490
701 104 475
150 260 326
150 36 148
478 136 206
377 43 662
867 807 221
318 90 643
188 763 179
826 263 521
371 795 631
651 236 679
106 175 864
929 151 349
885 636 519
50 158 221
21 398 815
869 96 611
21 199 604
301 389 399
298 885 399
342 55 120
938 70 259
265 902 948
73 929 880
902 459 10
79 711 920
349 853 478
287 246 886
690 785 813
302 657 569
370 905 845
536 190 692
312 218 505
694 409 504
548 560 44
893 485 770
600 739 50
659 59 647
602 466 45
470 516 623
2 809 523
185 689 952
829 915 455
161 480 137
566 261 411
291 158 785
390 597 742
591 747 18
163 185 405
715 419 133
381 410 690
103 345 545
552 84 420
209 667 289
73 674 933
322 24 918
588 516 966
33 341 853
345 449 780
247 144 71
454 39 373
112 282 239
522 836 514
608 204 549
67 674 111
484 540 702
383 259 832
460 635 522
814 627 42
753 271 5
46 438 223
915 132 861
149 403 878
139 815 87
889 385 216
444 197 760
524 226 456
343 244 955
426 398 815
874 409 846
841 426 381
517 164 955
89 617 962
391 244 809
609 496 572
778 441 851
474 241 966
655 918 757
402 399 334
263 468 892
406 142 633
444 104 594
868 923 198
643 705 377
830 54 46
147 455 769
394 446 220
191 789 159
815 463 774
479 94 929
663 62 807
89 146 243
314 324 784
283 787 847
24 785 323
353 670 903
247 163 174
312 67 630
440 935 54
32 297 743
517 176 883
679 704 63
589 97 7
821 840 870
864 714 716
571 40 434
273 116 967
583 661 967
879 901 570
321 899 923
271 630 281
295 588 770
899 314 905
649 265 840
879 288 588
378 308 540
893 422 550
75 319 377
449 716 851
28 905 133
670 941 744
482 603 116
413 520 856
232 22 880
425 911 503
645 565 635
930 848 181
833 86 695
696 756 189
488 234 507
808 659 277
176 117 592
174 268 469
394 485 130
602 757 53
113 620 872
211 853 102
31 402 343
653 444 637
293 135 759
694 660 550
382 662 561
885 722 340
88 376 352
756 98 992
893 186 940
542 652 594
586 91 12
541 154 640
808 256 918
350 922 627
220 150 67
275 244 828
760 677 11
479 841 813
65 376 959
36 176 231
874 273 829
509 471 875
810 898 960
730 499 857
700 824 227
285 887 310
17 249 283
491 84 452
351 651 614
230 744 156
484 612 500
186 777 892
475 672 686
341 758 784
651 595 384
541 769 300
427 50 786
45 144 917
908 834 607
20 807 513
4 38 846
630 828 963
540 884 922
681 374 507
596 744 622
277 854 524
292 423 633
820 145 211
52 34 425
434 166 532
197 530 233
394 384 924
843 684 125
90 436 336
35 601 383
100 42 733
932 480 522
185 878 25
848 700 975
750 819 353
97 427 631
23 604 760
446 359 582
637 898 116
638 921 677
85 483 350
353 912 654
352 643 968
156 168 858
60 624 938
176 427 420
574 672 291
487 531 132
712 536 345
69 376 498
821 102 929
867 477 548
734 938 366
13 402 924
316 276 834
578 777 709
241 876 201
624 873 158
881 535 439
122 867 395
861 775 161
147 728 662
579 273 780
837 175 406
784 613 351
709 723 552
57 745 408
152 230 254
75 385 1000
873 750 370
115 453 102
74 694 455
427 543 629
845 409 148
429 773 989
217 788 397
639 481 378
472 583 995
615 887 570
509 631 911
224 422 358
864 638 759
410 574 173
145 846 819
704 686 155
50 664 969
484 520 554
99 831 902
755 670 392
428 143 150
19 765 905
199 34 988
729 376 421
109 261 503
774 483 324
47 200 543
165 741 409
522 588 147
399 541 120
727 244 866
3 625 916
695 203 27
447 389 378
200 939 375
344 773 800
843 818 856
588 833 18
275 370 65
64 444 793
547 4 76
681 856 876
265 842 805
676 309 213
520 118 233
436 399 699
523 746 890
506 584 402
194 824 145
513 898 883
402 760 805
358 175 218
425 173 536
324 646 819
358 436 34
90 816 339
10 44 210
718 493 55
814 219 601
250 312 935
356 437 265
683 619 639
56 184 82
289 813 239
919 639 176
566 299 739
818 861 110
475 574 309
