18
863 992
533 426 443
644 480 253
164 737 -888
444 518 -445
823 243 -731
663 712 -662
711 195 8
294 413 306
234 626 961
728 649 946
570 564 -703
822 506 -456
754 774 -126
770 207 -469
54 201 -625
103 800 -89
831 619 989
56 87 -392
482 30 243
473 132 309
650 439 -150
616 536 -408
800 268 133
502 476 -994
456 826 779
645 755 986
252 856 -428
463 676 -600
111 466 -499
616 736 -798
294 855 -440
257 242 234
297 472 3
594 310 -761
568 377 -401
5 461 220
459 813 288
575 775 -933
391 479 992
497 744 637
412 756 433
158 254 747
845 859 -169
42 791 474
426 784 -581
782 468 800
147 448 -596
24 631 53
229 161 143
185 850 -255
174 798 516
505 307 -923
749 62 813
57 221 445
342 191 -870
315 589 681
672 651 338
611 628 880
747 352 459
712 424 -301
287 544 791
262 323 88
637 449 732
105 726 -117
160 748 -394
738 32 -156
321 86 540
132 653 -17
137 194 -79
89 358 -693
849 398 -940
335 177 920
215 578 -77
457 426 660
731 437 -232
684 26 -428
476 826 657
822 746 761
181 241 645
851 837 119
464 505 301
538 476 -421
742 697 466
55 764 -201
220 75 435
170 107 -737
402 609 581
618 587 881
822 537 -522
650 777 -539
620 811 -959
166 862 109
416 470 897
856 838 694
659 384 425
224 169 367
517 149 -899
682 326 -389
116 549 -9
416 239 467
859 20 -83
585 280 130
360 818 -546
150 708 -997
822 260 -155
432 697 4
136 822 -270
384 305 -643
427 445 511
605 411 0
765 837 616
112 854 -683
771 743 677
625 688 -159
719 543 659
38 380 437
390 177 532
140 442 19
518 197 517
740 13 143
724 671 -916
386 145 952
447 534 -491
30 477 464
98 635 -255
510 843 -340
418 619 -450
344 558 867
525 705 322
225 142 595
379 35 -540
315 155 469
459 278 284
293 819 714
232 619 426
9 495 620
703 784 170
117 463 436
676 562 88
831 814 -82
127 270 -488
158 410 -403
621 217 859
732 22 -52
167 331 -135
637 672 621
188 177 909
641 218 171
538 326 743
654 101 829
400 529 1
237 397 -271
575 95 444
723 108 784
23 763 794
798 197 -272
213 534 144
320 51 -530
604 385 -825
749 621 -920
333 105 908
30 337 741
334 224 724
756 749 420
613 793 14
780 655 -632
611 444 -550
409 834 13
518 498 -132
755 193 685
406 801 -982
686 122 267
705 588 -267
825 248 433
294 414 -114
153 38 -158
779 159 -527
680 626 -360
783 542 -867
428 414 916
37 102 -388
498 188 681
213 605 834
365 471 259
7 804 -989
722 435 -1
589 391 983
50 416 -246
52 366 -891
497 805 814
22 205 -660
268 748 -617
34 180 534
311 215 -865
774 438 -256
730 546 762
127 731 445
73 604 -631
78 596 633
543 84 -966
162 574 -511
220 649 559
321 84 328
220 564 183
669 601 -250
833 530 -690
485 387 11
389 539 826
363 506 -348
383 776 641
707 281 -436
109 447 -346
590 6 36
530 65 -864
470 519 153
335 346 31
134 335 782
43 346 211
316 705 597
16 517 945
519 624 -440
432 44 232
481 350 666
584 4 118
