16
868 895
122 233 412
479 290 -679
480 560 865
377 77 421
704 800 -281
314 387 -717
445 209 467
497 32 287
727 78 -482
151 172 499
54 382 -71
363 64 -519
41 610 -472
139 457 -42
734 577 -766
521 694 131
602 489 767
776 519 -883
186 440 601
334 381 869
536 708 817
760 682 -866
478 44 -845
454 494 530
263 698 -211
774 777 -267
291 571 120
494 755 33
138 797 -126
91 76 -37
123 74 359
160 183 823
811 116 507
514 832 657
758 858 604
776 90 198
586 486 -215
602 267 760
167 751 -358
811 445 474
405 516 -206
319 589 542
3 241 -82
533 613 990
539 15 -568
563 826 -815
809 46 -18
724 179 726
392 495 379
576 786 -362
223 125 903
363 543 -975
652 125 -16
558 706 462
756 614 809
217 53 -246
208 545 46
456 653 945
185 720 502
349 843 913
427 664 96
582 519 -757
691 695 336
294 15 277
71 751 762
700 841 -378
442 40 52
796 139 -575
500 777 889
61 757 760
712 726 -13
791 825 -226
424 578 518
843 377 -79
706 843 -607
172 197 -821
864 104 377
16 759 -362
253 649 -175
571 464 563
458 846 -960
348 355 379
330 76 -399
406 435 467
621 248 -597
574 599 -938
638 6 -902
791 844 640
383 561 -986
601 513 -757
715 842 -683
857 168 -423
844 565 -946
526 668 -960
62 342 -536
253 546 -538
403 716 -68
136 60 812
126 383 672
735 673 -2
68 384 360
91 177 261
533 541 -181
110 292 -475
151 170 -486
581 754 962
466 801 -477
51 44 110
532 197 -313
257 226 -28
524 80 -463
797 257 901
797 487 458
35 394 -429
842 161 83
70 251 -868
494 82 -475
677 832 797
733 535 686
475 70 990
217 17 618
673 771 -590
242 307 288
388 254 -527
714 92 -147
599 21 972
302 515 -105
284 544 -731
340 696 919
127 391 -190
35 13 -67
521 696 -481
395 366 -870
86 857 35
816 239 172
63 782 -329
651 33 -564
690 23 -63
145 382 363
226 37 -892
372 224 390
185 427 603
456 46 -188
307 672 -813
683 701 346
724 689 900
455 189 156
611 444 -13
740 492 108
657 454 -498
75 88 481
585 650 -425
81 712 -204
535 27 -404
542 554 615
303 635 -934
273 689 -41
513 381 -112
398 625 -61
4 628 782
777 831 -908
838 803 252
27 486 -884
647 762 -38
397 568 -546
844 540 395
750 459 -630
