8953 28291
4268 1256 476
5860 2509 349
4608 7037 -414
2625 7495 407
4701 8425 -453
1975 5950 69
134 1749 96
3976 2676 -727
7612 7043 -337
1678 3402 351
1368 6614 673
7888 1435 -631
3911 8137 -950
995 7886 864
2688 3499 366
5263 3133 -641
7163 6120 -426
7581 2819 -411
8883 8748 845
1477 6048 -396
7594 2013 -857
8369 3910 850
1863 2698 -391
3360 6509 692
1173 3730 -301
212 934 62
6690 8076 -351
1629 7540 710
2825 1574 -194
1748 6125 -580
696 7891 -743
120 6863 268
2201 8423 83
8612 239 93
1849 769 221
3113 1386 105
4424 2982 -438
4503 8827 41
5597 337 148
7933 467 -515
5229 5042 -224
1728 1890 353
6322 7052 -683
401 7100 -871
4099 420 909
5985 6513 -813
4388 2635 -986
1624 3013 377
5017 619 704
4962 1465 -535
738 3187 597
1602 702 -854
5977 675 291
2300 2549 -415
3995 2801 -805
6400 6576 -300
4766 3219 735
3706 170 -794
1296 1882 879
1240 55 -141
1893 6233 236
3736 7929 -24
3587 770 639
750 1076 885
8851 4727 834
3037 913 686
341 8279 88
6539 8912 310
3474 1298 -2
4945 7904 -583
134 3816 348
7398 6938 -261
529 8423 41
4793 5619 -87
5869 3563 817
5411 4108 229
725 3102 -344
4137 1464 -755
2215 5314 925
4728 2351 405
1869 7044 872
3092 6612 -840
7870 2629 728
803 6582 -93
3778 3110 -179
2263 138 -503
5300 1021 165
3247 2283 550
8918 7558 891
4374 3032 196
6002 5883 362
4138 3025 194
3208 4037 207
6775 8721 -888
7083 2997 929
8873 5695 708
4830 2968 -349
2734 6636 -552
3226 6385 -294
8785 5327 -674
126 6121 840
7347 755 280
8637 8137 -59
8157 5183 18
7746 6582 28
7364 3329 -682
3419 6501 -697
554 2414 -996
1674 998 633
4180 7218 725
733 5010 -494
7691 3382 -885
3192 6810 933
402 7595 -517
2704 4522 755
5804 6597 607
7411 2829 -56
8786 8179 381
813 4289 394
5623 6024 -488
6968 2087 972
5412 2009 626
3575 4675 801
7307 1771 -815
1903 6356 53
6865 7843 43
7496 8794 616
4351 5227 635
8404 8852 -802
8555 7611 -759
4204 2226 -159
4871 692 -313
2766 7527 -849
5957 5572 98
3023 1702 52
2419 2681 410
5132 8064 -97
2086 1998 534
6374 7107 203
6225 8113 -222
2889 3001 57
8287 7169 606
4007 7566 -397
2813 679 -63
5122 3561 -147
4713 336 192
7639 5796 -547
716 6647 454
2605 5166 -67
1617 8903 895
7536 1567 35
98 7631 660
5247 4322 891
4129 5873 -414
4684 4129 -490
1099 5888 -775
1422 4336 844
3500 4131 -726
7553 3958 -222
1222 2665 638
8047 7419 -389
6808 8816 -718
5357 5981 -610
5494 860 -900
4220 867 864
3622 3790 110
8118 6367 524
6096 6087 -596
3506 8110 -698
8055 7895 -329
6766 8646 282
5139 1354 -960
3581 6218 -891
7827 971 -442
3327 6253 359
2026 1298 46
2673 7238 172
8078 4286 -393
8267 180 925
6218 8826 -240
3531 4076 -113
1931 3466 69
736 5527 -339
8743 2416 589
382 775 -873
3604 335 -991
4964 1522 770
3841 2357 979
8927 8747 280
3613 1543 -961
4591 8528 -168
3330 3625 -885
1658 2925 -1000
611 612 -99
8414 3504 -913
3950 5051 459
8776 3339 -197
8500 6012 -719
857 3870 904
6224 3722 562
4495 5700 -146
7823 656 -794
4436 5131 -853
7271 1392 -840
3556 4567 -854
794 3147 542
5784 1484 -85
3959 5350 -547
6857 6622 522
4584 8657 -419
6150 3180 663
3325 4629 608
6061 5846 -444
5126 6093 405
2614 5600 -609
2631 2421 -445
1491 3797 -7
8003 6791 350
848 3233 852
6998 6233 227
6103 6790 504
2975 4550 -68
4291 7897 555
4361 6741 76
771 5186 509
32 975 65
19 5309 174
6697 5557 649
2425 7516 -817
5923 798 583
7257 2905 289
5842 5511 -418
1448 1785 -356
1768 7137 -329
1876 7179 -218
3965 5011 -211
2568 7308 -174
5875 8809 -500
1026 6700 66
7302 7644 269
8246 6251 255
5009 1465 -134
2056 5173 74
612 8794 -268
3337 1743 131
6466 3328 94
2022 7700 -410
5730 2900 -367
8045 7023 738
5328 550 -867
1434 6112 585
5845 2613 176
7190 8697 -698
5109 933 643
499 7166 -624
6201 8789 160
3226 1503 -967
1651 115 -183
2 5334 -591
5209 3051 -20
2540 5038 -56
532 4821 657
3296 8672 -956
5807 7476 -474
8394 362 827
5945 1797 491
4717 8263 593
8927 1130 -818
7354 1020 885
6533 3915 -182
6173 6125 350
3137 6670 575
7628 5250 155
5425 7266 -589
5254 4209 -612
8666 8745 -423
954 298 -793
3458 3106 -896
6435 393 39
3633 4156 481
409 8610 309
3652 389 -69
2296 3924 488
8254 320 561
2108 7313 896
3342 2002 297
4631 5023 533
301 4593 92
6766 1372 -85
3532 8676 474
6823 8213 -861
2678 5580 -304
1709 623 481
8839 3825 996
2514 4839 826
4386 7098 -940
4873 8676 213
7914 6695 -360
4457 3537 -732
7311 1248 -746
4019 5366 545
6691 5323 -238
4502 1641 -344
3727 4279 -489
8198 1956 -906
795 7662 770
1119 7400 60
342 3654 -475
1254 964 -136
3599 3373 -236
6798 1652 -703
1163 7722 -431
802 991 381
8494 2713 45
2893 511 666
3123 7477 47
8360 3046 -218
5198 6124 48
4676 3737 110
7631 7550 106
4287 1559 620
1951 2277 861
7157 5296 -842
6344 3894 402
3313 4462 -782
7764 2742 11
6301 6273 690
6010 5933 -114
4562 2747 -234
8565 1983 768
3366 4758 -763
2367 8676 355
8218 2490 497
5009 6328 927
3251 1329 955
4964 3834 207
1051 1660 -595
514 776 437
6018 8484 -214
3163 2050 -516
1792 617 781
2548 2538 -463
6478 6595 162
2773 5111 -380
8641 4108 -470
2152 1103 -945
5459 1413 -693
8500 4842 826
4590 4745 -138
1957 56 221
125 1703 237
1262 5658 120
6308 213 -195
4025 2799 -471
7298 567 -888
79 7304 666
7249 2374 -301
3485 2776 -496
2737 4726 220
1267 8646 -86
1705 5209 -269
203 853 260
5306 451 -959
3897 1077 -471
7099 1392 -749
3589 6578 -180
2231 2295 674
2311 8392 -175
1444 8953 458
6308 6835 278
8637 1924 173
1257 1275 825
823 8025 -436
4914 1590 78
3748 3738 -469
4984 8487 644
5407 4300 -728
181 7824 455
2376 7930 -257
1569 5385 -860
7714 2917 355
4105 4802 -880
8443 4649 -349
