8552 25325
7501 832 172
2142 2521 729
3805 4588 483
3203 5384 197
8321 1444 241
370 1695 -466
4081 1199 246
488 853 989
3533 7556 355
6137 1602 -619
1811 1269 -398
5867 6169 -572
5945 4964 852
6653 1709 598
353 3149 -797
2738 3826 -138
7554 797 -350
5449 1069 -294
7930 7273 319
5808 4687 -910
2995 8426 -694
2251 5637 -217
2577 3380 -803
5287 2978 -651
5030 6842 -86
1690 5471 564
6147 4845 -915
731 161 -248
1377 2806 -412
2189 5277 -850
1101 4793 -591
3078 3523 -998
1572 45 909
173 4346 -738
1501 1740 755
5215 6099 -461
5713 3290 -919
321 4946 256
7387 5919 968
1790 578 968
5600 3499 920
4828 8392 -469
1406 4932 -569
5640 3508 -733
7295 5274 568
5160 8141 25
6462 3977 116
941 6538 -792
935 7734 887
1186 2967 -249
7368 6119 251
719 3941 -458
6741 4582 -457
7003 4510 28
1144 7998 -23
6264 3889 -622
411 5184 -776
8242 2527 657
2127 998 52
6442 3564 -236
6534 5827 931
7737 6068 -388
5048 3588 -877
5824 3108 361
6730 4545 -275
7309 1228 -608
3749 2011 -914
2026 7291 176
2314 4538 268
4912 1243 628
7454 3172 -658
1944 1447 254
1568 3653 81
487 6393 -298
4677 4501 205
5248 3500 -779
6417 4162 -883
1981 2595 540
4863 1418 -733
661 50 45
1354 2322 -292
5618 4839 79
394 6146 121
3767 1156 -751
2372 5781 593
1724 8388 -143
462 7779 937
1929 170 -365
6664 1984 -705
1906 4302 -943
7377 7565 -330
7103 6632 -502
5743 7823 270
433 1262 938
6170 4133 718
2378 6538 960
3587 7574 297
4049 7428 -950
5395 2199 677
4101 3910 944
3095 6069 -7
8547 1956 -471
5239 5397 -36
7479 922 844
5894 309 -666
6758 1833 -595
4146 856 -137
5034 5754 -388
7386 7376 -90
6238 4206 -551
4548 1304 252
7687 5914 -680
1327 4249 983
5676 3910 486
5478 1480 -339
1632 3813 -922
5361 816 -564
1245 1917 849
4905 356 -798
2367 8099 -436
3527 1366 774
2887 3044 -574
4279 3125 230
1680 66 -538
5723 8398 995
875 3216 -415
3799 4920 795
2926 6809 99
4965 7000 -66
2973 5545 -325
3049 102 878
5151 7449 698
262 1271 905
1409 7589 565
6561 2550 -361
652 672 2
5052 8272 -434
5786 3460 925
7837 3751 881
7224 4716 621
6689 5720 -862
6408 6260 604
5170 93 -336
6307 8296 276
1645 1657 153
4918 1777 187
8151 7318 21
4763 3432 -11
3841 3490 766
872 11 -674
1570 4706 -136
233 1937 -868
5196 942 758
6490 6376 97
1033 5750 -846
2303 5723 -672
6183 1597 543
5820 3562 -758
4223 1306 -190
1682 2395 -296
7852 1695 451
5111 5881 -11
2016 2499 -841
